,Rating,Title,Review
29,5.0,Super!,An absolute beast. This is what you expect after paying such amount. Everything is perfect about this phone from build quality to camera to performance. Absolutely worth it.READ MORE
30,5.0,Super!,Really an overall great productREAD MORE
31,5.0,Fabulous!,"It's a apple device .. that means you get the good old ios . No performance issue , supper ram and power management . My slightly distasteful remark would be on its camera .READ MORE"
32,5.0,Terrific,I bought iPhone 14 in big billion days. Very happy. Excellent Product deliveryExcellent hapticsExcellent PerformanceExcellent CameraExcellent In hand feelExcellent Eco System if u have other apple products❤️ From Ooty Thank you Flipkart for the big billion days 🎉READ MORE
33,5.0,Fabulous!,"Happy to have iPhone 14. Wonderful phone specially because of Powerful camera😍, perfect screen size and potentially battery life make it worthy.READ MORE"
34,5.0,Fabulous!,sound quality is very good 👍READ MORE
35,5.0,Great product,Nice looking phone.READ MORE
36,5.0,Wonderful,"My 1st IOS device so far good😊Midnight Black the best you can have, the Camera quality is excellent along with the multitasking performance. Go for it!READ MORE"
37,5.0,Highly recommended,Nice cameraREAD MORE
38,5.0,Excellent,Looking Awesome ✨✨READ MORE
39,5.0,Excellent,awesome build quality and featuresREAD MORE
40,5.0,Simply awesome,Best phone but same as Iphone 13. There is no difference in 13 and 14.READ MORE
41,5.0,Brilliant,Decent purchase:)READ MORE
42,5.0,Terrific,Purchase on First day sale in BBD23.Will share full review after use.I am shifting from Android to IPhone.READ MORE
43,5.0,Awesome,Love the camera💖🥰READ MORE
44,5.0,Mind-blowing purchase,Excellent camera😊READ MORE
45,5.0,Excellent,Looking Awesome ✨✨READ MORE
46,5.0,Excellent,awesome build quality and featuresREAD MORE
47,5.0,Simply awesome,Best phone but same as Iphone 13. There is no difference in 13 and 14.READ MORE
48,5.0,Brilliant,Decent purchase:)READ MORE
49,5.0,Terrific,Purchase on First day sale in BBD23.Will share full review after use.I am shifting from Android to IPhone.READ MORE
50,5.0,Awesome,Love the camera💖🥰READ MORE
51,5.0,Mind-blowing purchase,Excellent camera😊READ MORE
52,5.0,Best in the market!,"Absolutely Awesome, Switching to iPhone was not easy but once i started using this phone. I am loving it.READ MORE"
53,5.0,Brilliant,Love IPhone Dream IPhone..💜😍✌️🖤READ MORE
54,5.0,Classy product,What a phone.READ MORE
55,5.0,Terrific,Awesome device form apple just go for it and main point is Flipkart delivery facility is best.READ MORE
56,5.0,Simply awesome,Best Phone in market.READ MORE
57,4.0,Really Nice,4 out of 5 Phone was so handy and superbREAD MORE
58,5.0,Classy product,NiceREAD MORE
59,5.0,Worth every penny,This is my first IOS device and I like it..I gifted this to my younger brother and he loved it. iPhone in-hand feel is damn premium 🙌🏻 also the camera quality is top notch to be honest I bought this phone only for smooth processor and camera quality. Just go for itREAD MORE
60,5.0,Excellent,Best camera phoneREAD MORE
61,4.0,Pretty good,Very nyc phoneREAD MORE
62,5.0,Awesome,Very good phoneREAD MORE
63,5.0,Perfect product!,awesome phone..i switched from android to ios first time and became a big fan of ios. Performance is excellent and display camera everything is awesome❤️❤️.READ MORE
64,5.0,Wonderful,"Review after a week Overall a powerful package for photo, video and gaming. Only thing which could have been better is battery, though it works whole day with low usage , but extensive use it would not go beyond half day.Camera 4/5Pictures in full zoom- 3Sound quality- 5/5Display- 4.5/5Performance- 5READ MORE"
65,5.0,Best in the market!,Awesome cameraREAD MORE
66,5.0,Classy product,Very smooth and camera is awesome 😍READ MORE
67,5.0,Best in the market!,"Best in class in all the aspects. Top notch performance for display, camera and everything.READ MORE"
68,5.0,Excellent,Good one got it around 67k . This is my first Apple mobile. Took time to get habituated to apple eco system but worth the wait. Simple and easy.READ MORE
69,5.0,Best in the market!,Quality + Performance + Integrity = Apple IncREAD MORE
70,5.0,Simply awesome,My First iphone experience even though its 60hz refresh rate but feels so smooth and optimized and performance is top notch🔥..if u r looking for an iphone 13..go for i phone 14 trust me u will love it❤️READ MORE
71,5.0,Brilliant,NiceREAD MORE
72,5.0,Terrific purchase,Simply superb so farNo complaints as of nowPhone was delivered within one day after orderREAD MORE
73,5.0,Perfect product!,Best PerformanceREAD MORE
74,5.0,Simply awesome,Highly recommended best price since launch loud speaker is amazing display is another world nothing to say it's overall quite amazing phone dont think ggo for itREAD MORE
75,5.0,Awesome,Nice oneREAD MORE
76,5.0,Classy product,It looks so pretty 🫣❤️READ MORE
77,5.0,Excellent,Love itREAD MORE
78,5.0,Worth every penny,I'm happy with the phone and the deal I got from the Flipkart.READ MORE
79,3.0,Bad quality,"After using for 2 weeks, conclusion :Battery drain very fast. It took 2 time a day for charging Camera is not good as I thought Display 60hz is smooth but not great Apple system is very classy If you are middle class family member then don't go for it. Android is far better for usesDon't overhypedREAD MORE"
80,3.0,Fair,Superb performanceREAD MORE
81,4.0,Wonderful,"60 hz display and battery charging speed are the unsatisfactory things, everything else is good.READ MORE"
82,5.0,Must buy!,Excellent product..READ MORE
83,5.0,Best in the market!,thanks Flipkart for helping me to buy iPhone 14Sometimes touch screen is not working properlyREAD MORE
84,5.0,Simply awesome,Very nice phoneREAD MORE
85,5.0,Fabulous!,Excellent deviceREAD MORE
86,3.0,Does the job,Overall good performanceREAD MORE
87,5.0,Wonderful,Best iPhone everREAD MORE
88,5.0,Terrific,Very nice mobileREAD MORE
89,5.0,Brilliant,Excellent productREAD MORE
90,4.0,Really Nice,Product wise looks great. Once i am using the iphone 14 - looks like getting heat. I need to check couple of times.READ MORE
91,5.0,Highly recommended,Nothing to say just go for it..🔥READ MORE
92,5.0,Terrific,Do I need to write a review? The name is enough. Apple ❤️😂READ MORE
93,5.0,Must buy!,Superb camera and performance... Battery life is also good.... Great Display and awesome looks... 60hz refresh rate is better than android 90hz... Loved it ❤READ MORE
94,5.0,Must buy!,Great performanceREAD MORE
95,5.0,Fabulous!,Nice Phone.READ MORE
96,5.0,Fabulous!,It's a perfect mobile. Comfortable in hands... Size is good. Looks so classy. For me it's the bestREAD MORE
97,5.0,Fabulous!,"First iPhone I'm so excited 🙃 It is wonderful, good battery performance for gamer ✌️READ MORE"
98,5.0,Terrific,"I am very happy with the purchase , i was confused between blue and yellow but yellow is very bright and refreshing color and look different  blue is also nice but after putting back cover we can not differentiate if its is iphone 13 or 14 better go for yellow iphone its very bright and attractive lot of people asked me if i bough new iphone or something thankyou flipkart now comes to the performance battery is good display is very smooth looks very premiums n feels very premium. Go for itREAD MORE"
99,4.0,Pretty good,Thanks Flipkart service is fine nd it comes in a 2 days.product is genuine nd I love itREAD MORE
100,5.0,Worth every penny,"Amazing camera effects, one of the best device for cinematographyREAD MORE"
101,5.0,Worth every penny,Amazing to switch from android to iosREAD MORE
102,5.0,Awesome,AstoundingREAD MORE
103,5.0,Fabulous!,The real legendREAD MORE
104,5.0,Great product,Good and genuine product...READ MORE
105,5.0,Just wow!,Just awesomeREAD MORE
106,5.0,Awesome,Great product by apple😍great phone 📱awsm camera qualityREAD MORE
107,5.0,Fabulous!,Great ProductREAD MORE
108,5.0,Excellent,Very Nice ProductREAD MORE
109,5.0,Wonderful,Very nice phone and fast delivery thnx FlipkartREAD MORE
110,5.0,Wonderful,Excellent mobileREAD MORE
111,5.0,Terrific,Excallent item i phone 14READ MORE
112,5.0,Simply awesome,I'm loving itREAD MORE
113,5.0,Wonderful,Received the package without any problem. Package is safe and sound. No issues with Apple Iphone 14. Great color. Extremely Satisfied.READ MORE
114,5.0,Awesome,Amazing!!!!READ MORE
115,5.0,Perfect product!,GoodREAD MORE
116,5.0,Super!,Good productREAD MORE
117,5.0,Worth every penny,Amazing Product 😇💯READ MORE
118,5.0,Wonderful,Everything is good but battery need to improveREAD MORE
119,5.0,Just wow!,GoodREAD MORE
120,5.0,Super!,Unique ProductREAD MORE
121,5.0,Fabulous!,Awesome phoneREAD MORE
122,5.0,Worth every penny,No wordsREAD MORE
123,5.0,Worth every penny,100% original product as per given quality specifications.READ MORE
124,5.0,Classy product,The best phoneREAD MORE
125,5.0,Worth every penny,Just wowREAD MORE
126,4.0,Delightful,Thanks Flipkart for this all new iPhone without any problem I got it and I'm finally Shifted 5 years later  redmi not 5 pro to new. iPhone 14 i really do hard work for this thing Last 8 month  Thanks 😊 I'm happy 😁 ❤️READ MORE
127,5.0,Perfect product!,Genuine product....thanksREAD MORE
128,5.0,Worth every penny,Amazing.loved this colour.READ MORE
129,5.0,Fabulous!,Thanks Flipkart for delivery on time.. and the product is same as I seen and buy...In this price the product is awesome and value for money..must go for it..READ MORE
130,5.0,Terrific purchase,Excellent product  loved it recommendedREAD MORE
131,5.0,Must buy!,Very very goodREAD MORE
132,5.0,Classy product,NiceREAD MORE
133,5.0,Wonderful,"First ever experiencing Iphone. Being an android user and switching over to Iphone and using it for a day makes me a step away from android. 1.Top Class Performance2. High defined Camera and Cinematic Video 3. Pocket friendly comparing pro and plus models4. Have a concern on Battery , though drains on a single day usage - It doesnt means a negative feedback since its 20W Charger charged from 3 to 60 at a time of 10 minutes. I was too surprised- The best class in Apple Series.Last but n...READ MORE"
134,5.0,Classy product,AwesomeREAD MORE
135,5.0,Terrific,Good....READ MORE
136,5.0,Perfect product!,"I got with in a day after I ordered,really happy with the product and serviceREAD MORE"
137,5.0,Highly recommended,Excellent experience with iPhone. Very nice product.READ MORE
138,5.0,Classy product,NiceREAD MORE
139,5.0,Worth every penny,FineREAD MORE
140,5.0,Wonderful,Great phoneREAD MORE
141,5.0,Brilliant,Nice mobileREAD MORE
142,5.0,Just wow!,"Can shoot great photos, great performance, good battery backup. Thanks Flipkart I got this phone in just 2 days.READ MORE"
143,3.0,Fair,Flipkart delivery service is worst . I had to travel 150 KM to get this product. Delivery center denied delivery at home.Iphone 14 pro-Great perfomance no lag .Great build quality . Feel premium Design is good  look attractiveCons -Battery is not good . Need to charge twise in a day Camera is not up to mark Display is yellowishREAD MORE
144,4.0,Very Good,GoodREAD MORE
145,5.0,Wonderful,"My 1st IOS device so far good😊Midnight Black the best you can have, the Camera quality is excellent along with the multitasking performance. Go for it!READ MORE"
146,5.0,Just wow!,Very nice productREAD MORE
147,5.0,Just wow!,BestREAD MORE
148,5.0,Simply awesome,I am happyREAD MORE
149,5.0,Terrific,GoofREAD MORE
150,5.0,Simply awesome,Nice productREAD MORE
151,5.0,Fabulous!,"I was earlier an Android user and I brought this phone only because of its good battery life. It took me some time to understand this phone but now I really like it. Amazing camera, super battery, handy design and brilliant display.READ MORE"
152,5.0,Perfect product!,FabulousREAD MORE
153,5.0,Simply awesome,Battery drain too first after ios 17 update   camera n video performance is awesomeREAD MORE
154,5.0,Great product,Excellent phoneREAD MORE
155,5.0,Awesome,Excellent 😊 top notchREAD MORE
156,4.0,Good quality product,GoodREAD MORE
157,5.0,Best in the market!,Outstanding PerformanceREAD MORE
158,4.0,Value-for-money,Good phone Nice in oneREAD MORE
159,4.0,Really Nice,Product is good...bt battary is average.READ MORE
160,5.0,Mind-blowing purchase,Verry niceREAD MORE
161,5.0,Best in the market!,Very goodREAD MORE
162,5.0,Best in the market!,AwesomeREAD MORE
163,5.0,Brilliant,Awesome phone with amazing featuresREAD MORE
164,4.0,Very Good,Pros :Excellent cameraGood build qualityCons :Design is old as like as Iphone 13Battery back up is poorAs usual no charger with phoneREAD MORE
165,4.0,Very Good,Android is best for worksiPhone is best for officers and vipsREAD MORE
166,5.0,Perfect product!,FabulousREAD MORE
167,5.0,Super!,GoodREAD MORE
168,5.0,Great product,"I wanted to buy yellow colour but that was not delivering on my pin code so went for this colour.After receiving this, I have no regression.Love this.iPhone heats a lot because of its built. Its frame is steel and the back is glass but it has great things when it gets hot, it restricts some features to cool it down.The camera is good, sometimes it misses focus.Performance is the best part of it.READ MORE"
169,5.0,Terrific,excellent productREAD MORE
170,5.0,Mind-blowing purchase,Yellow Color is awesome in this segmentREAD MORE
171,5.0,Mind-blowing purchase,Nice good battery backup good camera must buy👍READ MORE
172,5.0,Must buy!,Nice productREAD MORE
173,5.0,Perfect product!,On of the best mobile phoneREAD MORE
174,5.0,Terrific,ExcellentREAD MORE
175,5.0,Highly recommended,As usual all the excitement for unboxing an iPhone.. really mesmerizing with look and feel. Camera quality is top notch 👌..READ MORE
176,5.0,Just wow!,Iphone the best in performance as always.Smooth UI . Great camera. Great performanceREAD MORE
177,5.0,Perfect product!,Too awesome..........READ MORE
178,5.0,Perfect product!,Delicious 😋READ MORE
179,5.0,Super!,mind blowing performanceREAD MORE
180,5.0,Terrific purchase,I am in love with this. Upgraded from one plus. iOS is really wonderful with great features. Blue colour is wonderful. Camera and build quality is superb and stereo speaker are amazingREAD MORE
181,5.0,Excellent,Good 14 ❤️READ MORE
182,5.0,Fabulous!,Best Camera qualityREAD MORE
183,5.0,Great product,Super ❤️❣️READ MORE
184,5.0,Terrific purchase,Just go for it. And starlight is lob🤍READ MORE
185,5.0,Highly recommended,Excellent experience with iPhone. Very nice product.READ MORE
186,5.0,Fabulous!,I am writing this review after 1 week of usage and the only thing I want to say about it is excellentREAD MORE
187,5.0,Must buy!,This is not my first iPhone. Have been using them for close to a decade now. Had 12 mini - battery back was an issue. Have for the iPhone 14 now. No complaints !!READ MORE
188,5.0,Terrific purchase,Best phone everREAD MORE
189,5.0,Worth every penny,Great performanceREAD MORE
190,5.0,Great product,Good product Thankyou Flipkart 😊READ MORE
191,3.0,Nice,Producing huge heat compared to other modelsREAD MORE
192,5.0,Terrific purchase,Awesome phoneREAD MORE
193,5.0,Best in the market!,"Excellent performance,camera is superb , thank you flipkart,READ MORE"
194,5.0,Simply awesome,No need to give any review.Its apple iphoneoverall excellent performance Wonderful cameraSmooth osYou will little bit difficult to use for few daysOverall excellent phone with 5 star ratingREAD MORE
195,5.0,Must buy!,Worth buying ❤️READ MORE
196,5.0,Fabulous!,Loved it 😊READ MORE
197,5.0,Worth every penny,This is a totally monster in performance and daily usage the cons are 1. Selfie camera need to be more better 2. Ios 16 has battery drain issue hope they will fix it in next ios update(17).. conclusion if you want to upgrade to this iphone you should.READ MORE
198,5.0,Wonderful,Awesome phone with best cameraREAD MORE
199,5.0,Wonderful,"Battery is good am use for whole day with 4G on my meetings, chatting The new camera effects are goodREAD MORE"
200,5.0,Must buy!,Excellent Feacture And Camera And MobileREAD MORE
201,5.0,Terrific purchase,Writing the review after switching from OnePlus 11 to iOS. Camera is superb. Battery is wonderful and it doesn't drain without usage like other phones. Overall satisfied...READ MORE
202,5.0,Just wow!,Using for last 5 months great experience so far.READ MORE
203,5.0,Fabulous!,"No words about I phone simply awesome👍 Excellent customer service by Flipkart Genuine Product,Worth ItREAD MORE"
204,5.0,Terrific purchase,Thanku filipkart best phone in the world ❤️READ MORE
205,5.0,Mind-blowing purchase,Nice oneREAD MORE
206,5.0,Wonderful,NiceREAD MORE
207,5.0,Terrific,GOOD PRODUCT 👍READ MORE
208,5.0,Just wow!,Very Good product.  No battery drain issue on 5G . Even with dual sim . Also support dual 5G .Sim switching is very very Fast .Satellite system is also integrated in this phone so you can easily track your phone without internet connection. Awesome speed of processor. No 3.5 mm jack . Wifi 6 is also in thisDirect video call is not possible in this Phone .Wireless charging heating issue is detected .Except no heating on regular or full peak brightness use for 5 hr 49 min . Not too muc...READ MORE
209,5.0,Mind-blowing purchase,Awesome phone. Best performance and good in-hand feeling. Battery backup is good.READ MORE
210,5.0,Great product,"The iPhone 14 continues Apple's tradition of delivering cutting-edge technology wrapped in a sleek, durable design. Here's a detailed review focusing on its key features, performance, and overall user experience.Design and BuildAerospace-grade aluminum frame and Ceramic Shield front.Similar design to predecessor, with a comfortable and sleek profile.IP68 water and dust resistance rating.DisplaySuper Retina XDR display offering vibrant colors, deep blacks, and high brightness.High con...READ MORE"
211,5.0,Brilliant,Excellent features with camera qualityREAD MORE
212,5.0,Classy product,Camera quality is Fantastic 🔥Performance is next level good 👍 everything is perfect 🤩 i really like it very very muchREAD MORE
213,5.0,Fabulous!,Lovely productREAD MORE
214,5.0,Perfect product!,This piece so goodREAD MORE
215,5.0,Classy product,GoodREAD MORE
216,5.0,Mind-blowing purchase,ExcellentREAD MORE
217,5.0,Highly recommended,"Product is very great I'm also happy 😊 this Product ,all is ok and Timely DeliveredREAD MORE"
218,4.0,Really Nice,Good performanceREAD MORE
219,4.0,Worth the money,"Battery ,performance, 👍🏻READ MORE"
220,5.0,Great product,Superb device : compact and great performance. Zero lag vs Android ; although am a great fan of Android OS too but the seamlessness and ease of use with Apple is unmatched.READ MORE
221,5.0,Must buy!,Awesome apple ⚡️READ MORE
222,5.0,Brilliant,Nice roasting picture🫣READ MORE
223,5.0,Worth every penny,Value for money FOR APPLE 14READ MORE
224,5.0,Terrific purchase,Good phone with good performance.READ MORE
225,5.0,Brilliant,Love 😍 productsREAD MORE
226,5.0,Simply awesome,"Great choice to experience iOS with the best camera, display and performance. Loving it 😍READ MORE"
227,5.0,Good quality product,As ExpectedREAD MORE
228,5.0,Terrific purchase,Good product.READ MORE
229,5.0,Perfect product!,Very good phone battery backup is good .camera captures very good photos .READ MORE
230,5.0,Fabulous!,Good phone in every aspects. But battery drains fast. Need to work on it.READ MORE
231,5.0,Perfect product!,Value for money product if you get the deal around 65 k .READ MORE
232,5.0,Simply awesome,amazing product😊nice flipkart service😍I'm happy🤗READ MORE
233,5.0,Simply awesome,Feeling very premium...Color is very very good....Better than Black Starlight and othersREAD MORE
234,5.0,Simply awesome,Best phone in the world thanku filpkartREAD MORE
235,5.0,Classy product,Very nice productREAD MORE
236,3.0,Decent product,Performance is ok.. not much difference between iPhone 12 and iPhone 14Almost similar performance...READ MORE
237,3.0,Just okay,Mobile heating issues ios17.0.3 regularly heating during useREAD MORE
238,5.0,Excellent,GoodREAD MORE
239,5.0,Terrific,Good oneREAD MORE
240,5.0,Excellent,very niceREAD MORE
241,5.0,Best in the market!,Back to upgraded iPhone ☺️READ MORE
242,5.0,Awesome,Amazing....Thanku so much FlipkartREAD MORE
243,5.0,Great product,It’s a original product…..READ MORE
244,4.0,Nice product,"Camera is great but u can get this type of camera in mid range phones too. Apart from this all other things are nice be it display,battery,performance etcREAD MORE"
245,5.0,Brilliant,goodREAD MORE
246,5.0,Terrific,Awesome PhoneREAD MORE
247,5.0,Terrific purchase,Beautiful Design and powerful performance.Camera Quality is Awesome.READ MORE
248,5.0,Just wow!,SuperbREAD MORE
249,5.0,Just wow!,NiceREAD MORE
250,5.0,Classy product,Nice phoneREAD MORE
251,5.0,Best in the market!,Very nice picture qualityREAD MORE
252,5.0,Great product,Just awesomeREAD MORE
253,5.0,Classy product,Nice camera quality and phone is always awesomeREAD MORE
254,5.0,Fabulous!,It is amazing ! Was really scared that I might get a soap 😂 But to my surprise I was complete satisfied with the delivery and the product. It is genuine and good 👍READ MORE
255,5.0,Excellent,Smooth performance smooth camera Average better Best display Best designREAD MORE
256,5.0,Worth every penny,Extraordinary purchase at big billion daysREAD MORE
257,5.0,Simply awesome,Excellent phoneREAD MORE
258,5.0,Highly recommended,Nice phoneREAD MORE
259,5.0,Best in the market!,What I say that product design and technology made from AppleREAD MORE
260,5.0,Terrific,Nice thanks 💖READ MORE
261,5.0,Just wow!,Awsome Design 👌READ MORE
262,5.0,Terrific purchase,I phone 14 is very good productREAD MORE
263,5.0,Simply awesome,Good experience with FlipkartREAD MORE
264,5.0,Worth every penny,This one is literally out of expectation. Best one over this price range.READ MORE
265,5.0,Must buy!,Good phoneREAD MORE
266,5.0,Just wow!,Recieved brand new phone.READ MORE
267,5.0,Super!,Just awesomeREAD MORE
268,5.0,Fabulous!,Awesome product.READ MORE
269,5.0,Classy product,Really amazingREAD MORE
270,5.0,Simply awesome,Feeling very premium...Color is very very good....Better than Black Starlight and othersREAD MORE
271,5.0,Must buy!,Purple🟣... Loving it.1. Battery is good. 2. Camera is awesome. 3. In hand feeling very nice. 4. No issue with performance. 5. Design beautiful.READ MORE
272,5.0,Super!,Best oneREAD MORE
273,5.0,Fabulous!,Camera quality is veryy good but the screen size is a bit small overall good product.. loved itREAD MORE
274,5.0,Excellent,Thank you filpkartREAD MORE
275,5.0,Great product,It's just awesome👍👏😊READ MORE
276,5.0,Classy product,NiceREAD MORE
277,5.0,Wonderful,AwesomeREAD MORE
278,5.0,Best in the market!,CoolREAD MORE
279,5.0,Terrific,Amazing phone 🥰🥰🥰🥰READ MORE
280,5.0,Simply awesome,PerfectREAD MORE
281,5.0,Wonderful,PerfectREAD MORE
282,5.0,Worth every penny,"Awsome camera, inhand feel is freekingREAD MORE"
283,5.0,Great product,AmazingREAD MORE
284,5.0,Classy product,Great our first iPhone ever.READ MORE
285,5.0,Just wow!,Better for gaming and photography🔥READ MORE
286,5.0,Simply awesome,Good quality product. Super mercy phone. Always attractive than other phones. But Battery back up is lagging one everREAD MORE
287,5.0,Best in the market!,GoodREAD MORE
288,5.0,Must buy!,Amazing experience switching Android to iOS battery backup ok okREAD MORE
289,5.0,Awesome,Good iPhone 14READ MORE
290,5.0,Fabulous!,Battery performance good 5g networks clear voice and sound quality good.Overall good buy.READ MORE
291,5.0,Worth every penny,niceREAD MORE
292,5.0,Excellent,I love this 💕READ MORE
293,5.0,Simply awesome,Best phone at a good deal price.Pros:1. Best Camera you get.2. Good battery life.3. Super smooth UI4. Fast processing no lag at all5. Ecosystem is the next best thing in this.Cons:1. No USB C port2. Like phone accessories is also costly.3. No charger in the box.READ MORE
294,5.0,Classy product,My first iPhone. Always a special one Best build qualityBest camera Best sound qualityNice performance overallREAD MORE
295,5.0,Just wow!,"The iPhone 14 is a solid upgrade over the previous model, with key improvements in the camera, performance, and battery life. If you're looking for a new smartphone and can afford the price, the iPhone 14 is a great choice.Excellent new camera systemFastest mobile processor ever madeImproved battery lifeBright and vibrant displayREAD MORE"
296,5.0,Perfect product!,Apple is a brand. So just a normal review because it does not need any reviewREAD MORE
297,5.0,Must buy!,Loved it❤️READ MORE
298,5.0,Mind-blowing purchase,Camera quality bestREAD MORE
299,5.0,Simply awesome,Very awesomeREAD MORE
300,5.0,Brilliant,My first iPhone and I suggest everyone to go android to ios😎😍😘👍🏻READ MORE
301,5.0,Simply awesome,Good performance Good qualityREAD MORE
302,5.0,Worth every penny,Received this iPhone 14 yesterday I'mVery satisfied with this just awesome!!! 😍❤️Camera-5/5Performance -5/5Battery -4/5Display -4/5I gave this rating becoz I'm new ios user and switched from Android to iOS to I need some time to understand ios environmentAt the last just wanna say amazing!! Got in bbd sale 55k best phoneREAD MORE
303,5.0,Must buy!,All good! Works Great!READ MORE
304,5.0,Best in the market!,Good deviceREAD MORE
305,5.0,Mind-blowing purchase,Best phone ever 💕💕💕💕READ MORE
306,5.0,Wonderful,This is the bestREAD MORE
307,5.0,Best in the market!,AwesomeREAD MORE
308,5.0,Awesome,Mind-blowing phone 👌💕READ MORE
309,5.0,Great product,"If you want best viewing experience, then go for it.. must buy 👍🏼READ MORE"
310,5.0,Perfect product!,Money gone but its worthy . Apple never failed to impress usersREAD MORE
311,5.0,Mind-blowing purchase,nice productREAD MORE
312,5.0,Perfect product!,Very Good phone in all the matters.READ MORE
313,5.0,Classy product,I got it for 50k in BBD sale..It have smooth and fast operating system..This is my 1st iPhone...It will take time to habituate...Looks wise great but little bit small...If you want bigger size go for plus it is worth...Thank you....READ MORE
314,5.0,Mind-blowing purchase,Camera is awesome. I switched from android to iOS. Build quality is superbREAD MORE
315,5.0,Mind-blowing purchase,The product was very good. The cameras are fabulous. The battery is a bit less but it runs 6 hrs on medium tasks.The display is very nice.The performwnce is also pretty good.READ MORE
316,5.0,Highly recommended,Absolutely best premium phone under 60k love it 🥰 .Everything is perfect in this phone  📱READ MORE
317,5.0,Simply awesome,GoodREAD MORE
318,5.0,Wonderful,Phone is very nice in its blue colourREAD MORE
319,3.0,Decent product,GoodREAD MORE
320,5.0,Best in the market!,Original product received thank u FlipkartREAD MORE
321,5.0,Awesome,Thanks Flipkart 🥰READ MORE
322,5.0,Classy product,Nice big billion ❤️😁❤️😁READ MORE
323,5.0,Perfect product!,"The experience has been really good. The weight of the phone is significantly lighter than iPhone 11. The OLED screen is amazing with higher resolution providing more content on the screen. And this has 5g. The phone is snappier than my previous phone. But coming from an iPhone you really wont notice much difference since the experience is the same. After the restore everything looks and feels the same, thats really goodREAD MORE"
324,5.0,Terrific purchase,All good and battery performance bit less .READ MORE
325,5.0,Best in the market!,super excited mobile iphone 14READ MORE
326,5.0,Brilliant,Lightening delivery by FlipkartPhone is just awesome 😎READ MORE
327,5.0,Fabulous!,I'm sorry happyREAD MORE
328,5.0,Terrific,Just on word superb!READ MORE
329,5.0,Perfect product!,Nice productREAD MORE
330,5.0,Wonderful,BEST VALU FOR MONEY PRODUCT AND LOOK IS SO OWSAME.READ MORE
331,5.0,Classy product,NICEREAD MORE
332,5.0,Excellent,GoodREAD MORE
333,5.0,Classy product,What a incredible device just awesome 🤌🏻❤️READ MORE
334,5.0,Highly recommended,It's best 😁😁READ MORE
335,5.0,Just wow!,Good performance phoneREAD MORE
336,5.0,Super!,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 just wow.......READ MORE
337,5.0,Great product,The bestREAD MORE
338,5.0,Terrific,niceREAD MORE
339,5.0,Best in the market!,Very goodREAD MORE
340,5.0,Classy product,Really amazingREAD MORE
341,5.0,Excellent,Good one got it around 67k . This is my first Apple mobile. Took time to get habituated to apple eco system but worth the wait. Simple and easy.READ MORE
342,5.0,Just wow!,This product is good but it has too many hitting issuesREAD MORE
343,5.0,Worth every penny,Got an original product...phewREAD MORE
